name,address,hash,license,date,compiler,evm,transactions,balance,length
BiteOasis,0x001de766dc641735a4ef74947e3bc6ac51219aba,42da51ae4a08eb92,MIT,2019-08-23_11-12-26,v0.4.25+commit.59dbf8f1,Default,2,0,5802
DoubleHands,0x0bb4f50d431942986941a68721fe8b8f0b9fe051,10ba79f84cff15d9,MIT,2020-03-11_19-02-34,v0.5.14+commit.1f1aaa4,Default,27,0,12340
OneSplitView,0x14eba0b896047d61e0c745fddd1e3e07e82c5067,26dbbca09bad1b6e,MIT,2020-05-29_15-26-34,v0.5.17+commit.d19bba13,Default,1,0,23832
FtcToken,0xb2c5531758bC246A04b26d163baFE1360405A3BB,207c53611ab2c507,MIT,2019-10-22_07-03-42,v0.4.25+commit.59dbf8f1,Default,5,0,8608
ERC721Metadata,0xb74a2d5a709af071b37ee4fc3c9b4398ee0dc4a7,5d9345e98fd599c3,MIT,2019-07-22_11-38-33,v0.5.10+commit.5a6ea5b1,Default,3,0,5880
randomregisteredoracleExample,0x18fe2ed05b78fb98be7e232975529ade3ebefd57,f403dfbdec9895b,MIT,2020-02-18_10-02-17,v0.4.26+commit.4563c3fc,Default,1,0,2995
ChiSpender,0xed04a060050cc289d91779a8bb3942c3a6589254,740443ee001b5f3e,MIT,,v0.5.17+commit.d19bba13,Default,0,0,783
LeadToken,0x1dd80016e3d4ae146ee2ebb484e8edd92dacc4ce,4a9ccdc48e68f67e,MIT,2020-02-27_17-51-35,v0.5.0+commit.1d4f565a,Default,17,0,5569
MovingAverageOracleV1Proxy,0x6176A455b7F6741c84D9E3d479DebFCe0ba8443E,8a0c4babc86141f,Apache-2.0,2019-10-24_19-53-59,v0.5.7+commit.6da8b019,byzantium,1,0,604
DharmaSmartWalletImplementationV8Staging,0xb5371de91bde1dc3640219887ea03510a4a2701b,8618beaf9b72567,MIT,2020-03-04_22-52-00,v0.5.11+commit.c082d0b4,Default,1,0,24126
RingSubmitter,0x87f5d2243c2a2ae2d8934626739df6c5239d14ad,13c9d1fe2b4bb822,Apache-2.0,2019-12-07_01-26-35,v0.5.7+commit.6da8b019,Default,4,0,22486
ETH_ERC20_Curve_General_Zap_V1,0xed178929d640ac5e6ef7120cee47fd92f78e788a,6f87174cbd37d4da,GNU GPLv2,2020-06-02_06-59-19,v0.5.13+commit.5b0b510c,Default,7,0,7794
PaySpec,0x92da30c9f8c72baa6e52aaf6f49feba55614998c,431512fa7c32c976,MIT,2020-01-11_22-03-40,v0.5.0+commit.1d4f565a,Default,3,0,5904
flashIt,0x387424d6647135d4da317bc89302a828f0ac0cad,2a4b82a48a61cbe8,MIT,2020-04-30_16-47-17,v0.4.26+commit.4563c3fc,Default,1,0,2084
EightCoin,0xa657c9247701b2befcb590614b2c2d66b7460323,7596e41019f5efda,MIT,2020-03-23_05-15-37,v0.4.16+commit.d7661dd9,Default,29,0,4786
Hydrolic,0x7b551d679606ee11862b0e9b2d354b53951fda93,6579711aaf021bb4,MIT,2019-07-29_20-29-10,v0.4.24+commit.e67f0147,Default,571,0,5775
ECOToken,0x54f56401204f1b6c1091fe181ee78f35f0f21f05,7ede614736d10de3,MIT,2019-08-17_03-34-03,v0.5.1+commit.c8a2cb62,Default,1,0,8843
GAMTToken,0xf07c4b3999663ea7e6727836e5707553446c1f4c,53501de42e289eed,MIT,2019-11-21_05-14-37,v0.5.11+commit.c082d0b4,Default,2,0,4120
Subscriptions,0x61CEAc48136d6782DBD83c09f51E23514D12470a,362545a9d3b0ed5,MIT,2019-11-23_08-43-23,v0.5.0+commit.1d4f565a,Default,107,0,15752
Abonus,0x607B80a3498F01f87b889486f4E7f82C98CF0584,733c2991941dc0b4,GNU GPLv3,2019-12-05_07-53-17,v0.5.12+commit.7709ece9,Default,5,528958587237835119214,694
MakerV2Manager,0x8a7DA5FE29F33F5C053D46CB79086cDcc24aC610,705a057d1d065e03,GNU GPLv3,2020-05-07_18-49-43,v0.5.4+commit.9549d8ff,Default,411,0,22314
TimeLock,0x06a8cf8f54f04094a266a49f4886c578dc42b548,4fc6a614fb0a3cc1,MIT,2020-05-30_01-01-28,v0.4.24+commit.e67f0147,Default,1,0,12163
ConnectBasic,0xe939Ac130E85c41110128C1ADEbC842E45F285F7,7949373757eadcd3,MIT,2020-03-22_16-38-36,v0.6.0+commit.26b70077,Default,1,0,4158
ETH_Balancer_General_Zap_v1,0x110f1c8ce1f0b7977193eda2ba144dc45b0dd7aa,236416b1096bde6a,GNU GPLv2,2020-04-21_10-24-43,v0.5.13+commit.5b0b510c,Default,2,0,4771
BSX,0x442e735978155ed54ab19201ec834bb519f60168,42015790f62bf100,MIT,2019-12-08_09-32-39,v0.4.21+commit.dfe3193c,Default,5,0,2022
GemJoin6,0x4454af7c8bb9463203b66c816220d41ed7837f44,6c0049124e32ccda,GNU GPLv3,2020-05-27_19-38-05,v0.5.12+commit.7709ece9,Default,3,0,4679
RAYBancorConverter,0xcA607be163d93C06B830D535103e64BC600a21F1,42a2e38d0790cb1b,Apache-2.0,2020-04-21_21-35-29,v0.4.26+commit.4563c3fc,Default,19,0,18667
NiftyRegistry,0x6e53130ddff21e3bc963ee902005223b9a202106,93de58d31ed6b5d,MIT,2020-02-01_18-05-21,v0.5.12+commit.7709ece9,Default,58,0,1658
PToken,0x24d6193066d21d36938dc336322c64034af202d9,70bb603c6c1f8d44,MIT,2020-03-20_13-26-20,v0.4.19+commit.c4cbbb05,Default,3,0,5596
VotingToken,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,73ca0c4c8c3d8fad,GNU GPLv3,2020-01-09_15-44-21,v0.5.13+commit.5b0b510c,Default,705,0,9881
SwapToken,0x179747c6812bf1dcd1b3486027595a98055da059,7c1936e6972c4a17,MIT,2020-03-24_01-42-34,v0.5.14+commit.1f1aaa4,Default,4,0,3328
DepositContractRegistry,0xcA8EFCC93bca0BD89aD9bfffD050483dD80fdf07,398f4587bcf93e17,Apache-2.0,2019-11-09_00-45-58,v0.5.7+commit.6da8b019,constantinople,8,0,10840
AssetPairManager,0x5b1e82622dcb2d877ddd969a467802ab07855ef4,9705204d65aaf49,Apache-2.0,2019-11-14_02-14-48,v0.5.7+commit.6da8b019,byzantium,4,0,5826
Token,0xe37d27660E5B8B861641b9D52009344f20534084,643dd0749fee102e,MIT,2019-08-27_09-17-54,v0.4.18+commit.9cf6e910,Default,4,0,13258
NEST_NodeAssignment,0x472c31697633daCd24C4674b4571d4A393d54870,287325bf70125b95,GNU GPLv3,2019-08-14_08-35-02,v0.5.10+commit.5a6ea5b1,Default,654,0,4508
CompoundImportTaker,0x203ff0b107fc842ed0fe6680c33e5f0930523af8,37ab0f7473a60998,MIT,2020-06-09_18-14-39,v0.6.6+commit.6c089d02,Default,1,0,4268
lexDAOPersonalTokenFactory,0xdde4a6e3e6091a20866bb25b8e9fd314c364c65d,362c7cc8e3ebcc0a,MIT,2020-02-07_22-43-20,v0.5.14+commit.1f1aaa4,Default,7,0,13451
ToonizeToken,0x293d6708ec8A40D98fB72bca6d6F755800aFc620,2208639d0cc0aaec,MIT,2019-11-06_16-34-07,v0.5.11+commit.c082d0b4,byzantium,1,0,18889
Reward,0xbe13b07351fa9e22d0c37a304b6d69787fbb0f21,6e56ce9b938fb585,MIT,2020-02-13_09-34-08,v0.5.16+commit.9c3226ce,Default,1,0,3104
ZERO_X_BUTTv5,0x7c1056ac0f7d223c4297e0c683453ee625011b1f,7f5de45f46a68d2d,MIT,2019-07-29_00-42-14,v0.5.10+commit.5a6ea5b1,Default,654,0,9381
AppProxyUpgradeable,0x0b4D742d52EE0C4391439f80822B26fDF1ad6Ee7,7b0d29ef714b55b0,GNU GPLv3,2020-02-14_17-40-54,v0.4.24+commit.e67f0147,Default,2629,0,1035
DolomiteDirectV1,0xfe97ad44a97e591b328d0a0dbf3e9eb03d694edd,4c98ff4f41951ae9,Apache-2.0,2019-11-09_00-59-07,v0.5.7+commit.6da8b019,constantinople,4,0,9314
HAMDAN,0xdba934811a10d2cfe5f33736cc56c42e7b8fd067,425be9622ea26df6,MIT,2019-07-30_19-27-32,v0.4.25+commit.59dbf8f1,Default,41,0,5775
Forwarder,0x132a04f3f6196b499a7ed512c15e002d5dcefa9a,a5b31e21fcf10e4,Apache-2.0,2019-11-07_07-03-38,v0.5.12+commit.7709ece9,constantinople,2,0,8537
GTProjectFactory,0xe4071756D1E0687858C92415e57f5F1B4D9e685D,31e2babd66023b68,MIT,2019-11-17_10-27-33,v0.5.10+commit.5a6ea5b1,Default,1,0,14829
OmiseGangsterToken,0xc7665729dccff66f8f1b8676434f0ae4a9bfe511,10182bbb652f0f2e,MIT,2019-11-15_16-21-43,v0.4.25+commit.59dbf8f1,Default,136,0,5775
KaroToken,0x72a40175f5f24cf3933c37c19ffe82dd1417e33c,4f916151e3c01081,MIT,2019-10-26_10-24-32,v0.5.11+commit.c082d0b4,Default,8,0,6705
CompImport,0x78a174477d0ec996d35cc3484d73f71128e0c046,4903f262e6b5dbc6,MIT,2019-10-13_03-43-06,v0.5.7+commit.6da8b019,Default,1,0,6254
UniswapWethLiquidityAdder,0xcdac39c49715f1caf3d36d3ccd9d8f7c9f7af91f,658dbbe58f988ac9,MIT,2020-04-24_22-21-58,v0.5.17+commit.d19bba13,Default,3,0,857
KriosToken,0xde1289e68ad9e65ccf50d800c0cec2d514b80a40,5328d6bb690f8812,MIT,2019-09-04_16-40-38,v0.5.11+commit.c082d0b4,Default,1296,0,5906
orfeed,0x73f5022bec0e01c0859634b0c7186301c5464b46,7f0a64ec14e1701e,MIT,2019-11-29_14-50-54,v0.4.26+commit.4563c3fc,Default,13,0,19889
HAWKIN,0x6d1d1da8145c26f37e032179e3434e293c3aea51,4cfd72de7cd0c104,MIT,2020-04-22_17-30-18,v0.4.26+commit.4563c3fc,Default,2,0,2537
CoveredCall,0x3536903f897b6fa9910481b7bfc4e02e39183c4b,2dee57b577f6af6e,GNU GPLv3,2019-07-28_04-25-52,v0.5.8+commit.23d335f2,Default,1,0,5703
SAMPLE,0x7a4f7e8cc513c7689975a05709a9666ffc4b1760,53301a8c3e30c16d,MIT,2019-08-05_08-07-23,v0.4.26+commit.4563c3fc,Default,3,0,6050
OrderbookReserve,0x28ad54a7208608d17b8d4a4a4034f254a28df85e,205f186dd43ff0ec,MIT,2019-12-04_14-54-39,v0.4.18+commit.9cf6e910,Default,58,0,16835
PerformanceFeeCalculator,0xe795f2f05a375569197c1e08a262957fd4104b44,6a796002d49fc4c4,Apache-2.0,2020-05-22_21-46-08,v0.5.7+commit.6da8b019,byzantium,1,0,6661
DharmaSmartWalletImplementationV6,0x097e8a763fa037d741740af72976259ea315fe3d,76050749eb24b0fe,MIT,2020-01-09_16-33-08,v0.5.3+commit.10d17f24,Default,1,0,22726
GooglierToken,0x0e5e5c1b981a20be2bfade0b114e5fe7ba6eff7f,77b9b8a397b240af,GNU GPLv2,2019-08-29_12-37-29,v0.4.15+commit.bbb8e64f,Default,14,0,5031
HALE,0x43f263e363c0c2e39033fcbd9982b78a42d43031,4bc1d81711b0edaa,MIT,2020-02-24_10-35-33,v0.5.2+commit.1df8f40c,Default,3116,0,4176
KyberSwapDapp,0x8b64d94d42fa3c05dc8579ae9ba788e0cb35d999,79bf7a1cdfd73864,MIT,2019-10-09_10-30-00,v0.5.12+commit.7709ece9,Default,2,0,2751
CompoundManager,0xA5d7d68D7975e89FEb240f42feD1D77bb71b1cAF,1b3fcd3f94ae653b,GNU GPLv3,2019-08-08_07-33-05,v0.5.4+commit.9549d8ff,Default,10000,0,17266
SpaceWave,0x6e08427f6f472342d0ce286c875956be232d6af4,44046ebadc472bd6,MIT,2019-07-31_08-19-27,v0.5.10+commit.5a6ea5b1,byzantium,2,0,4426
RaiseToken,0xc01610abd718462d9e44488eeb212d912d136ed8,572beb57b515e885,GNU GPLv3,2019-11-14_12-08-47,v0.5.12+commit.7709ece9,petersburg,1,0,5330
UniSwap_ETH_CHAIZap,0x670577feb18576c10f632b2e26976e659d1e5e33,0,GNU GPLv2,2019-12-17_05-43-59,v0.5.13+commit.5b0b510c,Default,8,0,0
InProfitToken,0x0122db5fba163b123ebc047d735437c6a6677e6f,485b8a2b5c36160f,MIT,2019-08-28_11-05-58,v0.5.8+commit.23d335f2,Default,35,0,1827
CompoundSubscriptionsProxy,0xdf436ece24614bb7c6f44fedde48a0c6725602a2,75d8964eebeade52,MIT,2020-04-21_13-48-05,v0.5.17+commit.d19bba13,Default,1,0,3366
ZeldaCoin,0x4c8563be01a48f4e8520fba68f826010abacb6c6,539262a39a95d8c8,GNU GPLv3,2020-01-24_20-35-41,v0.5.7+commit.6da8b019,Default,7,0,7790
LKBT,0xcd3c4bd77a8bcc26d881af6d62e86b2b17f2f29f,2d60b242b02c8e64,MIT,2019-09-04_11-44-13,v0.5.1+commit.c8a2cb62,Default,7,0,11283
Xenium,0x934c28362f7f399c5064980c187ed6d273ab9598,3c1ecdb5f0f4615a,MIT,2019-07-30_10-45-13,v0.5.8+commit.23d335f2,Default,414,0,5204
BloomToken,0xDEfd515Ed32E5927c7BD90624e62b72cfD666578,f954b602ca16b18,Unlicense,2019-11-09_17-35-42,v0.4.25+commit.59dbf8f1,Default,700,0,9186
yTokenProxy,0x1d5ad987b743eb624662fe5c62b8f6015554203a,167de52f03019025,MIT,2020-03-11_05-40-50,v0.5.12+commit.7709ece9,Default,5,0,3981
WALLToken,0xf6460f44931eb4f11b41f2e9c0181f3081435577,3f6a7f4718e81ce9,MIT,2019-11-15_05-49-21,v0.4.19+commit.c4cbbb05,Default,138,0,2184
ProofOfExistence,0xfBA43A685A86cD5884379e9a1ac611d956cDa9CC,59e26c9f7d851276,MIT,2019-10-04_19-48-15,v0.5.11+commit.c082d0b4,Default,4775,0,792
TCPToken,0x998ffa137f081e393c7174e4bb2a8d23df59e55c,6dfc7c89b951e2aa,MIT,2019-08-09_13-38-14,v0.4.24+commit.e67f0147,Default,8589,0,1747
CodeHashCache,0x000000000041d7d38b9061e1aa93f014f2f28393,3113e5c98d656d61,MIT,2019-09-12_22-02-13,v0.5.11+commit.c082d0b4,Default,28,0,827
DaoRewardsStorage,0x35addce0274ba9104293c4cf234e43b5ae2d4ef3,6c2b388c453a414f,BSD-3-Clause,2019-03-29_03-33-47,v0.4.25+commit.59dbf8f1,Default,1,0,5470
OfferToken,0x408666e471f64df0d4d69c8a98e915aba75a333c,7c4ce1140f39a231,MIT,2020-04-12_02-06-57,v0.5.14+commit.1f1aaa4,Default,7,0,14065
WethDeposit,0x23433f70daf6047ded2479ad7cafc2b843fffd38,4916c7f866e33107,MIT,2019-07-29_20-50-57,v0.5.7+commit.6da8b019,Default,1,0,462
yCRV,0x55e3cb30ff2568c9f43c41c6b84cacced04e7c3f,3736ec4a3f8f8bf2,MIT,2020-02-01_11-04-47,v0.5.12+commit.7709ece9,Default,2,0,15351
ReferenceConsumer,0xe37ec6e1cde80505f32ffa5d915b5b46fd8cec7c,21d9fd00f238c54e,MIT,2020-04-22_18-11-39,v0.4.24+commit.e67f0147,Default,1,0,1821
TrustlinesNetworkToken,0x679131f591b4f369acb8cd8c51e68596806c3916,6f0c319f5b6acb20,MIT,2019-11-14_12-41-21,v0.5.8+commit.23d335f2,petersburg,244,0,2942
TokenERC20,0xfec53cb4ed3dead15cb122b55364c6a5f50dab31,4b0400931515741,MIT,2020-02-22_12-45-41,v0.5.1+commit.c8a2cb62,Default,23,0,4652
WildcardSteward_v0,0x929bbccdaa014585666d1497afb2d8d7c9da38e5,c6d2f4112697bd7,MIT,2019-10-16_15-08-27,v0.5.4+commit.9549d8ff,Default,1,0,9615
Token,0x44c23fb0d6f013b118c4d5267f8a676eefc90c24,171dcb2891aa9195,MIT,2019-12-19_17-18-59,v0.5.12+commit.7709ece9,Default,21,0,7961
yCurveZapOut,0x57102a8c0ccf999a176a8f787606319a52a4189b,27d2225cd49739a8,MIT,2020-03-02_06-19-13,v0.5.12+commit.7709ece9,Default,3,0,23754
SmartWalletRevertReasonHelperV1,0x13821c0129fb9e2cc16de2660783ff4e4861e92d,1756b68db137a3bc,MIT,,v0.5.11+commit.c082d0b4,Default,0,0,2751
MarketplaceElectron,0x02114334e7ff9601085d5b5805f8694147317c3f,46cc397039716639,BSD-3-Clause,2020-02-10_06-54-01,v0.4.19+commit.c4cbbb05,Default,259,0,5301
OracleProxy,0x9bccedddd9c1C95E722b2E661AA2712e0b1D0397,7fcb96fc08ffbd38,Apache-2.0,2019-08-23_19-58-34,v0.5.7+commit.6da8b019,byzantium,2,0,4222
VoteTimes,0x7ef80aedb30cebc4865611c09aabc005b4bf4034,5ee103c9525ecd95,MPL-2.0,2020-01-31_11-32-54,v0.5.16+commit.9c3226ce,Default,1,0,2796
WPX,0xb3bace433288645114fe8e8aa91f87659cbf665b,565a7451adc3676,MIT,2019-12-04_08-22-43,v0.5.11+commit.c082d0b4,Default,4668,0,11528
WrapConversionRate,0x0de2a05c8a3f25651c7fe0fdad821aeec916f7fa,5ce784b3f5b3bbaf,MIT,2019-11-26_14-45-20,v0.4.18+commit.9cf6e910,Default,9,0,6712
JZNPToken,0x5a077C5857bf84C38477C7eB452aE9c3C35633bB,68f78877c841148,MIT,2019-10-08_11-30-53,v0.5.2+commit.1df8f40c,Default,1,0,20756
bizcloud,0x40c43097a3e0db9ffa83c648b74bda9e2db58851,35150f0d5b15c8b0,MIT,2020-03-10_08-38-52,v0.5.16+commit.9c3226ce,Default,1,0,2782
Inflationary,0x8c9e4cf756b9d01d791b95bc2d0913ef2bf03784,600ddc3231ab4235,MIT,2019-10-27_15-21-18,v0.5.10+commit.5a6ea5b1,Default,8906,0,3392
ETHDrop,0x463c3acb2f44a6f715dd41ef4727e6e24358475b,41bd3f37ef34e827,MIT,,v0.5.14+commit.1f1aaa4,Default,0,0,1843
OneSplit,0x3a2d9db352580eb50018fc86eae32e19070a9982,4e52c7ed86309c97,MIT,2020-05-29_15-54-14,v0.5.17+commit.d19bba13,Default,1,0,21012
Sparkles,0x4c4c62a08eb49404ab85f3b4a0d6560488f2e216,c6bb2f1a7a4c235,MIT,2019-08-03_14-16-17,v0.5.10+commit.5a6ea5b1,Default,251,0,6938
BlockToken,0xbC7B9bFB9Cf68a40262DCbc4D0D2e344fFb74CE3,13d61b54cdecef62,MIT,2020-06-05_03-36-14,v0.5.0+commit.1d4f565a,Default,1,0,2011
BridgeFlashLoanTaker,0x4b922507b808d3895c2213a2b4c4720756b4d9e0,2e7b1aa6a2d37684,MIT,2020-04-15_09-35-22,v0.5.17+commit.d19bba13,Default,1,0,3860
ShadowPayment,0xde09afc032aa20bb3324ee43179021cd1e63d345,29ef611c7e0e4977,MIT,2019-09-05_12-07-54,v0.5.1+commit.c8a2cb62,Default,8,0,2628
StaticConnectBasic,0x1a696C27be494BadDfa63A8ff1C37366F526c669,64ada6b205959892,MIT,2020-04-27_18-09-16,v0.6.0+commit.26b70077,Default,1,0,1964
TokenERC20,0xc949fc82a15964fb5b97e5cf8f9ffed139086821,41a19d112186b0b3,MIT,2019-08-10_05-18-16,v0.5.10+commit.5a6ea5b1,Default,961,0,2312
QPCToken,0x8F925ff8422192B14AD3B6db9883acde95fd073a,4a48aa5229414134,MIT,2019-07-26_05-47-57,v0.5.10+commit.5a6ea5b1,Default,14,0,7985
FundAndDistributeFactory,0xfcD4bfFd7B76092c59Fb9791ff3F9B5405D4010A,fa4c63523f14e4c,MIT,2019-10-27_17-30-14,v0.5.10+commit.5a6ea5b1,Default,2,0,11304
DEM,0xdb55f242a3205f76c8f2a643dbcc3a053a075386,35222de2cf85d2fb,MIT,2020-03-22_04-58-18,v0.4.26+commit.4563c3fc,Default,17,0,2537
UniSwap_ETH_CDAIZap,0x9cba40c86b83a88bd5663cac07843a37ccb753cf,510cd36b04760698,MIT,2020-01-22_12-28-04,v0.5.12+commit.7709ece9,Default,6,10000000000000000,16684
ERC20Token,0x5cef8c37ab75fc56cd50e17692f39ac7bc189075,7de4ec490de9bf3a,GNU GPLv3,2019-10-05_02-48-43,v0.4.16+commit.d7661dd9,Default,2,0,4023
PermittedConverts,0x6666fC23AE6C26e8500cCD55A870cD4eDe49202c,36f9f32ac3a3ce54,GNU GPLv3,2020-04-29_08-35-02,v0.4.24+commit.e67f0147,Default,2,0,864
SelfServiceFrequencyControls,0x971d5a272b671c7936d03b66ab89da76c0f8dc38,2d3f2fa15a3b6017,MIT,2019-12-12_10-43-50,v0.4.24+commit.e67f0147,Default,6,0,3456
MultiPoolZapV1_4,0x7f1cd65679d73eb98fcebe8b61c13d3d68605717,20f4c4631495d33f,GNU GPLv2,2020-05-01_07-54-33,v0.5.13+commit.5b0b510c,Default,389,0,5656
OceandexExchange,0xc5d62ba0d89fabe682058c6c65389f255c5b192e,43b3542e4f4168eb,Unlicense,2020-03-28_11-23-55,v0.4.26+commit.4563c3fc,Default,1,0,5775
AztecChaiAirdrop,0x289a7d1d22abf90595b4f8d109e7de71f03d42d4,76d9cbcd686da6e2,GNU GPLv3,2020-01-13_18-02-39,v0.5.15+commit.6a57276f,Default,2,0,1984
RebalancingSetTokenV2,0xbd0844314e6ddd20bcf796ad5b979da06d82c45c,2e5ae5ffc211ec18,Apache-2.0,2020-01-15_20-10-38,v0.5.7+commit.6da8b019,byzantium,1,0,17599
LightningNetwork,0x49d743dc7f0aafda02a736ecdcce174e9cae6261,1d3cfdf4f0de9c97,MIT,2020-02-17_10-04-35,v0.4.25+commit.59dbf8f1,Default,3,0,11369
AdapterRegistry,0x06fe76b2f432fdfecaef1a7d4f6c3d41b5861672,6e00bd86034eb73e,GNU LGPLv3,2020-04-06_20-52-50,v0.6.5+commit.f956cc89,Default,32,0,20122
LexTokenFactoryMaker,0x80cfbe26cca322411f9f005d25ba54127618fcb0,57fbe7aa8c6ae709,MIT,2020-04-27_02-49-27,v0.5.14+commit.1f1aaa4,Default,5,0,22965
